English_Word,Hebrew_Translation,Part_of_Speech,Amirnet_Level
prosper,לשגשג,Verb,2
prosperous,משגשג,Adjective,2
protest,מחה,Verb,2
protocol,פרוטוקול,Noun,3
provocative,פרובוקטיבי,Adjective,3
prudent,זהיר,Adjective,3
psychology,פסיכולוגיה,Noun,2
publication,הוצאה לאור,Noun,2
publish,פרסם,Verb,2
punish,להעניש,Verb,1
purchase,רכש,Verb,2
qualitative,איכותני,Adjective,3
quantitative,כמותי,Adjective,3
radical,רדיקלי,Adjective,2
random,אקראי,Adjective,2
range,התפרס,Verb,2
rational,רציונלי,Adjective,2
rationalize,עשה רציונליזציה,Verb,3
react,להגיב,Verb,2
reaction,תגובה,Noun,2
rebel,מרד,Verb,2
rebellion,מרד,Noun,2
recruit,מגיס,Noun,2
reduce,להפחית,Verb,1
refine,"לזקק, לשפר",Verb,3
refute,להפריך,Verb,3
regime,משטר,Noun,2
region,אזור,Noun,2
regional,אזורי,Adjective,2
regulate,לווסת,Verb,3
regulation,וסות,Noun,2
reinforce,לחזק,Verb,3
reject,לדחות,Verb,2
relevance,רלונטיות,Noun,2
relevant,רלוונטי,Adjective,2
reluctant,מסתייג,Adjective,3
remedy,תרופה,Noun,2
repel,להדוף,Verb,3
represent,לייצג,Verb,2
require,לדרוש,Verb,1
requirement,דרישה,Noun,2
research,מחקר,Noun,1
researcher,חוקר,Noun,2
reside,התגורר,Verb,2
residence,מגורים,Noun,2
resident,מקומי,Adjective,2
resign,התפטר,Verb,2
resilient,"עמיד, חסין",Adjective,3
resolve,לפתור,Verb,2
resource,משאב,Noun,2
respond,להגיב,Verb,2
response,תגובה,Noun,2
restrict,להגביל,Verb,2
restriction,הגבלה,Noun,2
resume,לחדש,Verb,2
retain,לשמר,Verb,2
retaliate,גמל,Verb,3
reveal,לחשוף,Verb,2
revenge,נקם,Verb,2
revive,להחיות,Verb,2
revolt,למרוד,Verb,3
revolution,מהפכה,Noun,2
rhetoric,רטוריקה,Noun,3
ridiculous,מגוחך,Adjective,2
rigid,נוקשה,Adjective,2
riot,התפרע,Verb,2
robust,חסון,Adjective,3
role,תפקיד,Noun,1
rumor,שמועה,Noun,1
ruthless,חסר רחמים,Adjective,3
sacred,קדוש,Adjective,2
sanction,סנקציה,Noun,3
sarcastic,סרקסטי,Adjective,3
satirical,סטירי,Adjective,3
scandal,שערוריה,Noun,2
scarce,"נדיר, חסר",Adjective,3
scheme,"תוכנית, מזימה",Noun,3
scholar,מלומד,Noun,2
scorn,בוז,Noun,3
scrutinize,לבחון בקפידה,Verb,3
section,חלק,Noun,1
sector,מגזר,Noun,3
secure,בטוח,Adjective,2
security,בטחון,Noun,1
seek,חפש,Verb,2
seize,לתפוס,Verb,2
select,בחר,Verb,2
selection,בחירה,Noun,2
sentence,שפט,Verb,1
sequence,רצף,Noun,2
series,סדרה,Noun,1
significant,משמעותי,Adjective,2
significantly,משמעותית,Adverb,2
similar,דומה,Adjective,1
similarity,דמיון,Noun,2
simulate,לדמות,Verb,3
simulation,הדמיה,Noun,3
sincere,כן,Adjective,2
site,מקם,Verb,1
skeptical,ספקני,Adjective,3
slander,השמיץ,Verb,3
slavery,עבדות,Noun,2
smuggle,הבריח,Verb,2
solidarity,סולידריות,Noun,3
source,מקור,Noun,1
sovereignty,רבונות,Noun,3
specific,מגדר,Adjective,2
specifically,ספציפית,Adverb,2
specify,פרט,Verb,2
speculate,לשער,Verb,3
spontaneous,ספונטני,Adjective,3
spy,מרגל,Noun,1
stable,יציב,Adjective,2
stagnant,מעפש,Adjective,3
statistics,סטטיסטיקה,Noun,3
steadfast,יציב,Adjective,3
stereotype,סטראוטיפ,Noun,2
stigma,סטיגמה,Noun,3
strategic,אסטרטגי,Adjective,2
strategy,אסטרטגיה,Noun,2
structural,מבני,Adjective,2
structure,מבנה,Noun,1
stubborn,עקשן,Adjective,2
subordinate,כפוף,Adjective,3
subsequent,עוקב,Adjective,3
subsidy,סובסידיה,Noun,3
substitute,החליף,Verb,2
subtle,"עדין, דק",Adjective,3
subversive,אדם חתרני,Noun,3
sufficient,מספיק,Adjective,2
summarize,לסכם,Verb,2
superficial,שטחי,Adjective,3
superstition,אמונה תפלה,Noun,2
supplement,"תוספת, להשלים",Multi,3
suppress,לדכא,Verb,3
surpass,לעלות על,Verb,3
surplus,עודף,Noun,3
surrender,להיכנע,Verb,2
survey,סקר,Verb,2
suspect,מפקפק,Adjective,1
sustain,"לשמר, לקיים",Verb,3
sustainable,בר-קימא,Adjective,3
sympathy,"אהדה, סימפתיה",Noun,2
tangible,מוחשי,Adjective,3
target,מטרה,Noun,1
temporary,זמני,Adjective,2
tenacious,חזק,Adjective,3
terminate,"לסיים, לסיים",Verb,3
territory,טריטוריה,Noun,2
terrorism,טרוריזם,Noun,2
text,שלח הודעת טקסט,Verb,1
theoretical,תאורטי,Adjective,3
theory,תאוריה,Noun,2
thesis,תזה,Noun,3
thorough,יסודי,Adjective,2
thrive,לשגשג,Verb,2
tolerance,סובלנות,Noun,2
tolerate,לסבול,Verb,2
torture,ענה,Verb,3
tradition,מסורת,Noun,1
traditional,מסרתי,Adjective,1
trait,"תכונה, מאפיין",Noun,2
transfer,להעביר,Verb,2
transition,מעבר,Noun,2
transparent,שקוף,Adjective,2
treaty,אמנה,Noun,2
tremendous,עצום,Adjective,2
trend,"מגמה, טרנד",Noun,2
trial,בחן,Verb,2
tribute,מתנה,Noun,2
trigger,"לגרום, להפעיל",Verb,2
triumph,ניצחון,Noun,2
typical,אופייני,Adjective,1
tyranny,רודנות,Noun,3
ultimate,"סופי, מוחלט",Adjective,2
ultimately,בסופו של דבר,Adverb,2
underlie,להיות מונח ביסוד,Verb,3
underlying,"בסיסי, מונח ביסוד",Adjective,3
undermine,לחתור תחת,Verb,3
undertake,לקחת על עצמו,Verb,3
unemployed,מובטל,Adjective,1
uniform,"אחיד, מדים",Multi,2
unify,לאחד,Verb,2
unique,ייחודי,Adjective,1
universal,אוניברסלי,Adjective,2
unprecedented,חסר תקדים,Adjective,3
uprising,מרד,Noun,2
urgent,דחוף,Adjective,2
usurp,גזל,Verb,3
utilize,"לנצל, להשתמש",Verb,3
vacancy,משרה פנויה,Noun,2
vague,מעורפל,Adjective,2
valid,תקף,Adjective,2
validate,נתן תוקף,Verb,3
vanity,יהרה,Noun,2
variable,משתנה,Adjective,2
variation,וריאציה,Noun,2
various,מגון,Adjective,1
vary,להשתנות,Verb,2
vengeance,נקמה,Noun,3
verdict,פסק דין,Noun,2
verify,לאמת,Verb,2
versatile,רב-תכליתי,Adjective,3
version,גרסה,Noun,1
veteran,ותיק,Noun,2
viable,"בר-קיימא, אפשרי",Adjective,3
victim,קורבן,Noun,1
vigilant,שעומד על המשמר,Adjective,3
violate,להפר,Verb,2
violence,אלימות,Noun,2
virtue,מעלה,Noun,2
vision,"חזון, ראייה",Noun,2
vital,חיוני,Adjective,2
vivid,חד,Adjective,2
volatile,חומר נדיף,Noun,3
volume,נפח,Noun,2
voluntary,התנדבותי,Adjective,2
vulnerable,פגיע,Adjective,2
warrant,"צו, ערובה",Multi,3
weapon,כלי נשק,Noun,1
widespread,נפוץ,Adjective,2
wisdom,חוכמה,Noun,1
withdraw,"לסגת, למשוך",Verb,2
witness,היה עד ראייה ל_,Verb,1
worship,לסגוד,Verb,2
wrath,זעם,Noun,3
yield,"להניב, להיכנע",Verb,2
zeal,התלהבות,Noun,3
zealous,נלהב,Adjective,3
